ID,Title,Pre-condition,Test Steps,Test Data,Expected Result (ER),
ERROR_EDGE_TC_006,Verify site validates and sanitizes all user inputs to prevent XSS,User enters script in input fields,"1. Enter <script>alert('xss')</script> in search, review, address fields
2. Submit",Input: malicious script,"Input sanitized/escaped, script not executed, stored/displayed as plain text, no XSS vulnerability",
ERROR_EDGE_TC_007,Verify site handles extremely long input values without breaking,User enters max-length+ data,"1. Paste 10,000 character string in name/address field
2. Submit",Input: extremely long,"Backend truncates or rejects with validation error, frontend has maxlength attribute, no server error/500",
ERROR_EDGE_TC_008,Verify site handles special characters in user input correctly,User enters unicode/special chars,"1. Enter names/addresses with emojis, accented chars, symbols: José ?? Müller & Co.
2. Save/submit","Input: unicode, special","Data stored and displayed correctly, no encoding issues, search/filter works with special characters",
ERROR_EDGE_TC_009,Verify site handles timezone differences for order dates/times,User in different timezone than server,"1. Place order at 11 PM local time
2. Check order confirmation and account",Timezone: user vs server,"Dates/times displayed in user's local timezone (or clearly labeled), no confusion about order timing",
ERROR_EDGE_TC_010,Verify site handles daylight saving time transitions correctly,User orders around DST change,"1. Place order during DST transition hour
2. Verify timestamps",Time: DST boundary,"System handles ambiguous/nonexistent times correctly, logs use UTC, display converts properly to local time",
ERROR_EDGE_TC_011,Verify site prevents price manipulation via client-side edits,User modifies frontend price,"1. Use browser dev tools to change product price HTML to $0.01
2. Add to cart and checkout",Price: client-modified,"Backend validates price against database, charges correct price, ignores client-side tampering, logs attempt",
ERROR_EDGE_TC_012,Verify site prevents adding more inventory than available,User tries to exceed stock,"1. Product has 5 in stock
2. Try to add quantity 10 to cart
3. Try to checkout with 6+",Inventory: limited,"Frontend limits quantity selector to available stock, backend validates on add-to-cart and checkout, blocks overage",
ERROR_EDGE_TC_013,Verify site handles concurrent purchases of last item correctly,Two users buy last item simultaneously,"1. User A and B both have last item in cart
2. User A checks out first
3. User B tries to checkout",Inventory: race condition,"First user succeeds, second user gets ""Item no longer available"" error at checkout, inventory never goes negative",
ERROR_EDGE_TC_014,Verify site handles payment gateway downtime gracefully,Payment service unavailable,"1. Simulate payment API failure
2. User attempts checkout",Gateway: down,"User sees friendly message ""Payment service temporarily unavailable. Please try again later."" with retry option, order not created",
ERROR_EDGE_TC_015,Verify site logs errors securely without exposing sensitive data,Developer checks error logs,"1. Trigger various errors
2. Review server/application logs",Logs: error tracking,"Logs contain error context but NOT: passwords, full card numbers, PII; uses log levels, structured logging",
ERROR_EDGE_TC_016,Verify site rate-limits abusive requests to prevent DoS,User/bot makes rapid requests,"1. Script sends 100 requests/second to product API
2. Observe responses",Requests: high frequency,"After threshold, returns 429 Too Many Requests, implements exponential backoff suggestion, protects backend",
ERROR_EDGE_TC_017,Verify site handles corrupted or malformed cookie data,User has invalid session cookie,"1. Manually edit cookie to invalid JSON/value
2. Refresh page",Cookie: corrupted,"System detects invalid session, clears bad cookie, redirects to login or starts new guest session, no crash",
ERROR_EDGE_TC_018,Verify site handles browser back button during checkout appropriately,User navigates back in checkout flow,"1. Proceed to payment step
2. Click browser Back button
3. Observe behavior",Navigation: browser back,"Either: stays on current step with warning, or returns to previous step with data preserved, no data loss or duplicate submission",
ERROR_EDGE_TC_019,Verify site handles copy-paste of formatted text into inputs,User pastes rich text,"1. Copy formatted text from Word/website
2. Paste into name/address/review field",Input: pasted rich text,"System strips formatting, keeps plain text only, no HTML/CSS injected, displays correctly",
ERROR_EDGE_TC_020,Verify site provides clear contact/support options when errors occur,User encounters unresolvable error,"1. Trigger 500 error or payment failure
2. Look for help",Error: unhandled,"Page shows: friendly error message, reference ID for support, link to Help Center, email/chat contact option",
PERF_SEC_TC_001,Verify homepage loads in under 2 seconds on fast 4G,User on mobile network,"1. Test with Lighthouse/WebPageTest
2. Simulate Fast 4G",Performance: mobile,"First Contentful Paint <1.8s, Largest Contentful Paint <2.5s, passes Core Web Vitals thresholds",
PERF_SEC_TC_002,Verify product images are optimized and lazy-loaded,User scrolls product collection,"1. Open Network tab
2. Scroll down collection page",Images: below fold,"Images load only when near viewport (lazy-load), served in modern format (WebP/AVIF), responsive sizes via srcset",
PERF_SEC_TC_003,Verify critical CSS is inlined for above-fold content,User loads page,"1. View page source
2. Check <head> for styles",CSS: critical path,"Critical styles inlined in <style> tag, non-critical CSS loaded async, no render-blocking resources above fold",
PERF_SEC_TC_004,Verify JavaScript bundles are code-split and lazy-loaded,User navigates site,"1. Check Network tab for JS files
2. Navigate to checkout",JS: bundling,"Initial load only loads essential JS, checkout-specific code loaded only when needed, reduces initial bundle size",
PERF_SEC_TC_005,Verify site uses browser caching effectively for static assets,User revisits site,"1. Load page first time
2. Reload page
3. Check Cache-Control headers",Assets: static,"Images, CSS, JS have long cache TTL (1 year), versioned filenames, reload uses cache, 304 Not Modified responses",
PERF_SEC_TC_006,Verify site implements Content Security Policy (CSP) headers,Security audit,"1. Check response headers
2. Validate CSP directives",Headers: security,"CSP header present with strict-dynamic, nonce for inline scripts, blocks unsafe-eval, reports violations",
PERF_SEC_TC_007,Verify site uses HTTPS exclusively with HSTS enabled,User accesses site,"1. Try http:// URL
2. Check Strict-Transport-Security header",Protocol: HTTP?HTTPS,"HTTP redirects to HTTPS automatically, HSTS header with long max-age, preload directive if applicable",
PERF_SEC_TC_008,Verify site protects against common web vulnerabilities (OWASP Top 10),Security scan,"1. Run automated scan (ZAP, Burp)
2. Test manual injection attempts",Security: penetration test,"No SQL injection, XSS, CSRF vulnerabilities found; proper input validation, output encoding, CSRF tokens",
PERF_SEC_TC_009,Verify user passwords are hashed securely in backend,Developer checks database,"1. Register new user
2. Inspect users table in DB",Storage: passwords,"Passwords stored as bcrypt/Argon2 hashes with salt, never plaintext or weak MD5/SHA1, hashing params logged securely",
PERF_SEC_TC_010,Verify site implements proper session management,Security review,"1. Login and inspect session cookie
2. Check session fixation/rotation",Session: cookie,"Session cookie has Secure, HttpOnly, SameSite=Strict flags, session ID regenerated on login, timeout enforced",
PERF_SEC_TC_011,Verify API endpoints require authentication for protected resources,API security test,"1. Call /api/orders without auth token
2. Call with valid token",API: protected endpoints,"Unauthenticated requests return 401 Unauthorized, authenticated requests with valid token return data, scope enforced",
PERF_SEC_TC_012,Verify site rate-limits login attempts to prevent brute force,Security testing,"1. Script attempts 20 login tries with wrong passwords
2. Observe responses",Auth: brute force,"After 5-10 failures, returns 429 or introduces delay, locks account temporarily, logs suspicious activity",
PERF_SEC_TC_013,Verify site sanitizes file uploads to prevent malicious files,User uploads profile image,"1. Try to upload .php/.exe file as avatar
2. Upload valid .jpg/.png",Upload: file validation,"System rejects non-image extensions, validates MIME type server-side, scans for malware, stores outside web root",
PERF_SEC_TC_014,Verify site uses parameterized queries to prevent SQL injection,Backend code review,"1. Review database query code
2. Test with SQL injection payloads",Database: queries,"All queries use prepared statements/ORM parameterization, no string concatenation with user input, input validated",
PERF_SEC_TC_015,Verify site implements proper CORS configuration for APIs,API security,"1. Check CORS headers on API responses
2. Test cross-origin requests from malicious domain",CORS: configuration,"CORS allows only trusted origins, not wildcard *, credentials handled securely, preflight requests work correctly",
PERF_SEC_TC_016,Verify site logs security events for monitoring and audit,Security monitoring,"1. Trigger failed logins, admin actions
2. Check security log stream",Logging: security events,"Logs capture: timestamp, user/IP, action, result; sent to SIEM, retained per policy, alerting on anomalies",
PERF_SEC_TC_017,Verify site dependencies are scanned for known vulnerabilities,DevOps pipeline,"1. Run npm audit / Snyk / Dependabot
2. Review reported issues",Dependencies: third-party,"No critical/high CVEs in dependencies, automated PRs for updates, pinned versions, regular dependency reviews",
PERF_SEC_TC_018,Verify site has a documented security incident response plan,Compliance review,"1. Request security documentation
2. Review incident response procedure",Documentation: security,"Plan exists with: roles, communication steps, containment procedures, legal/compliance contacts, post-mortem process",
PERF_SEC_TC_019,Verify site undergoes regular security testing and penetration tests,Security posture,"1. Request latest pentest report summary
2. Check testing frequency",Testing: schedule,"Annual third-party penetration tests, quarterly vulnerability scans, bug bounty program, findings tracked to resolution",
PERF_SEC_TC_020,Verify site complies with data privacy regulations (GDPR/CCPA),Privacy audit,"1. Review cookie consent, data export/delete flows
2. Check privacy policy",Compliance: privacy law,"Clear cookie consent banner, easy data access/deletion requests, data minimization, privacy policy updated, DPO contact",
MOBILE_RESP_TC_001,Verify site is fully responsive on mobile viewports (320px-414px),User on smartphone,"1. Test at 320px, 375px, 414px widths
2. Verify layout and interactions",Viewport: mobile,"Content reflows correctly, no horizontal scroll, touch targets adequate, fonts readable, images scale",
MOBILE_RESP_TC_002,Verify mobile navigation menu is accessible and usable,User on mobile device,"1. Tap hamburger menu
2. Navigate through categories
3. Close menu",Navigation: mobile,"Menu opens smoothly, categories expandable, back button works, close/X visible, keyboard doesn't obstruct",
MOBILE_RESP_TC_003,Verify product images are tappable and zoomable on mobile,User on product page mobile,"1. Tap product image
2. Swipe through gallery
3. Pinch to zoom (if supported)",Touch: image interaction,"Image opens in lightbox, swipe gestures work, pinch zoom functional or double-tap to zoom, close button easy to tap",
MOBILE_RESP_TC_004,Verify mobile checkout form inputs trigger correct keyboards,User enters checkout on mobile,"1. Tap email field
2. Tap credit card number field
3. Tap expiry field",Inputs: form fields,"Email: shows @ keyboard, Card: numeric keypad, Expiry: MM/YY picker or numeric, improves data entry speed",
MOBILE_RESP_TC_005,Verify mobile site avoids horizontal scrolling in content areas,User scrolls product list mobile,"1. Browse collections on mobile
2. Observe horizontal movement",Layout: mobile content,"No unintended horizontal scroll, content fits viewport width, carousels swipe horizontally intentionally",
MOBILE_RESP_TC_006,Verify mobile buttons and CTAs are easily tappable (min 44px),User interacts with mobile UI,"1. Attempt to tap Add to Cart, Checkout buttons",Touch targets: mobile CTAs,"All primary buttons have minimum 44x44px touch area, adequate spacing between interactive elements",
MOBILE_RESP_TC_007,Verify mobile site loads efficiently on 3G networks,User on slow mobile connection,"1. Throttle to Slow 3G in DevTools
2. Load homepage and product page",Network: mobile 3g,"Critical content loads in <5s, images lazy-load, non-essential JS deferred, perceived performance acceptable",
MOBILE_RESP_TC_008,Verify mobile site handles orientation changes gracefully,User rotates device,"1. View page in portrait
2. Rotate to landscape
3. Rotate back",Orientation: portrait/landscape,"Layout adapts smoothly, no content cutoff, images reflow, form inputs remain usable, no JS errors",
MOBILE_RESP_TC_009,Verify mobile search is optimized for thumb-friendly use,User searches on mobile,"1. Tap search icon
2. Type query
3. Select suggestion",Search: mobile UX,"Search bar expands to full width, keyboard appears with search action button, suggestions easy to tap",
MOBILE_RESP_TC_010,Verify mobile cart drawer is accessible and doesn't block content,User opens mini-cart mobile,"1. Tap cart icon
2. View items in drawer
3. Close drawer",Cart: mobile drawer,"Drawer slides up/in without covering critical info, close button prominent, scrollable if many items",
MOBILE_RESP_TC_011,Verify mobile product variant selectors are easy to use,User selects options on mobile,1. Tap size/color selectors on product page,Selectors: mobile interaction,"Selectors use native pickers or large tap targets, selected state clear, updates price/inventory visibly",
MOBILE_RESP_TC_012,Verify mobile checkout flow minimizes steps and typing,User checks out on mobile,1. Proceed through mobile checkout,Checkout: mobile flow,"Autofill enabled, address lookup, saved payment methods, minimal required fields, progress indicator clear",
MOBILE_RESP_TC_013,Verify mobile site supports browser autofill for forms,User with saved info,1. Tap email/name/address fields in checkout,Autofill: browser saved,"Browser suggests saved info, user can select to auto-fill fields, works for contact, shipping, payment",
MOBILE_RESP_TC_014,Verify mobile site handles virtual keyboard overlay correctly,User types on mobile,"1. Focus input field
2. Observe page behavior with keyboard open",Keyboard: mobile virtual,"Page scrolls to keep focused input visible, doesn't hide submit button, layout adjusts for keyboard height",
MOBILE_RESP_TC_015,Verify mobile site provides clear feedback for touch interactions,User taps buttons/links,1. Tap interactive elements on mobile,Feedback: touch,"Visual feedback on tap (ripple, color change), haptic feedback if supported, confirms action registration",
MOBILE_RESP_TC_016,Verify mobile site avoids hover-dependent interactions,User on touch device,1. Try to access hover menus on mobile,Interactions: hover vs tap,"No critical functionality requires hover; menus use tap-to-open, tooltips accessible via tap or always visible",
MOBILE_RESP_TC_017,Verify mobile site loads web fonts efficiently without FOIT/FOUT,User loads page on mobile,1. Observe text rendering during load,Fonts: web font loading,"Uses font-display: swap, critical text in system font fallback, no invisible text flash, fonts load quickly",
MOBILE_RESP_TC_018,Verify mobile site respects user preferences for reduced motion,User has prefers-reduced-motion,"1. Set OS preference to reduce motion
2. Visit site",Accessibility: motion preference,"Animations disabled or simplified, no auto-scrolling carousels, transitions respect user setting",
MOBILE_RESP_TC_019,Verify mobile site provides easy way to return to top of long pages,User scrolls down mobile page,"1. Scroll to bottom of collection
2. Look for scroll-to-top",Navigation: scroll,"Floating scroll-to-top button appears after scrolling, or sticky header with link, one-tap to return",
MOBILE_RESP_TC_020,Verify mobile site handles poor connectivity with offline support (basic),User goes offline,"1. Enable offline mode in DevTools
2. Try to browse cached pages",Connectivity: offline,"Previously visited pages load from cache, clear message when content unavailable, retry option when back online",
